X,Y
0.0000,47.667
0.0957,47.667
0.1914,47.667
0.2871,47.667
0.3828,47.667
0.4785,47.667
0.5742,47.667
0.6698,47.667
0.7655,47.667
0.8612,47.667
0.9569,47.667
1.0526,47.667
1.1483,47.667
1.2440,47.667
1.3397,47.667
1.4354,47.667
1.5311,47.667
1.6268,47.667
1.7225,47.667
1.8182,47.667
1.9139,47.667
2.0095,47.667
2.1052,47.667
2.2009,47.667
2.2966,47.667
2.3923,47.667
2.4880,47.667
2.5837,47.667
2.6794,47.667
2.7751,47.667
2.8708,47.667
2.9665,47.667
3.0622,47.667
3.1579,47.667
3.2536,47.667
3.3492,47.667
3.4449,47.667
3.5406,47.667
3.6363,46.936
3.7320,60.466
3.8277,90.718
3.9234,54.169
4.0191,42.300
4.1148,42.289
4.2105,42.445
4.3062,47.105
4.4019,43.265
4.4976,121.268
4.5932,167.467
4.6889,169.742
4.7846,169.948
4.8803,169.692
4.9760,169.667
5.0717,169.667
5.1674,169.616
5.2631,169.660
5.3588,169.667
5.4545,169.667
5.5502,169.667
5.6459,169.624
5.7416,169.677
5.8373,166.786
5.9329,164.715
6.0286,164.655
6.1243,162.935
6.2200,160.791
6.3157,162.212
6.4114,165.318
6.5071,169.438
6.6028,169.696
6.6985,169.670
6.7942,152.945
6.8899,61.362
6.9856,95.208
7.0813,163.483
7.1770,168.914
7.2726,164.840
7.3683,162.088
7.4640,159.924
7.5597,160.443
7.6554,159.761
7.7511,161.587
7.8468,166.246
7.9425,169.312
8.0382,160.383
8.1339,161.377
8.2296,168.612
8.3253,169.955
8.4210,170.000
8.5166,169.712
8.6123,169.667
8.7080,169.442
8.8037,169.635
8.8994,169.891
8.9951,169.702
9.0908,169.667
9.1865,169.667
9.2822,170.190
9.3779,134.739
9.4736,57.155
9.5693,41.796
9.6650,50.768
9.7607,127.144
9.8563,165.229
9.9520,169.678
10.0477,169.902
10.1434,169.745
10.2391,169.670
10.3348,169.667
10.4305,166.398
10.5262,159.863
10.6219,165.960
10.7176,169.505
10.8133,169.579
10.9090,169.558
11.0047,169.645
11.1004,169.667
11.1960,169.667
11.2917,169.667
11.3874,169.667
11.4831,169.365
11.5788,165.553
11.6745,159.792
11.7702,153.085
11.8659,143.044
11.9616,138.506
12.0573,146.732
12.1530,161.856
12.2487,168.530
12.3444,169.854
12.4400,169.723
12.5357,169.667
12.6314,169.863
12.7271,169.896
12.8228,164.326
12.9185,151.822
13.0142,118.189
13.1099,64.508
13.2056,43.403
13.3013,42.637
13.3970,71.632
13.4927,102.512
13.5884,122.631
13.6841,144.300
13.7797,152.469
13.8754,145.145
13.9711,138.538
14.0668,141.970
14.1625,153.604
14.2582,162.816
14.3539,164.771
14.4496,158.511
14.5453,147.712
14.6410,143.733
14.7367,151.123
14.8324,159.201
14.9281,165.421
15.0238,164.778
15.1194,150.073
15.2151,138.862
15.3108,146.738
15.4065,157.656
15.5022,159.264
15.5979,154.970
15.6936,149.616
15.7893,142.609
15.8850,133.019
15.9807,125.402
16.0764,116.713
16.1721,112.430
16.2678,112.580
16.3634,113.059
16.4591,117.935
16.5548,122.630
16.6505,122.688
16.7462,129.999
16.8419,147.529
16.9376,162.023
17.0333,168.587
17.1290,169.517
17.2247,169.595
17.3204,169.667
17.4161,169.667
17.5118,169.667
17.6075,169.670
17.7031,169.667
17.7988,169.451
17.8945,168.196
17.9902,167.069
18.0859,168.899
18.1816,167.105
18.2773,161.215
18.3730,155.861
18.4687,151.129
18.5644,145.575
18.6601,141.961
18.7558,140.553
18.8515,138.444
18.9472,135.575
19.0428,133.291
19.1385,130.783
19.2342,128.148
19.3299,127.302
19.4256,127.323
19.5213,127.322
19.6170,128.184
19.7127,129.175
19.8084,127.996
19.9041,129.370
19.9998,132.140
20.0955,130.150
20.1912,127.811
20.2868,119.035
20.3825,170.046
20.4782,235.846
20.5739,255.000
20.6696,255.000
