Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/19/2018
Test time,16:04:12
Device ID,ratiosample
Count,14
Flags,!
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,-9.637E-09,1.01E-08,-2.5382E-08,0.03437,0,1
-99,8.64E-10,4.298E-09,-6.121E-09,0.33587,0,1
-98,1.9E-11,2.734E-09,-3.298E-09,0.66041,0,1
-97,3.78E-10,1.979E-09,-2.407E-09,0.9292,0,1
-96,6.93E-10,1.559E-09,-1.756E-09,1.19415,0,1
-95,-1.73E-10,1.291E-09,-1.32E-09,1.51993,0,1
-94,6.07E-10,1.09E-09,-1.266E-09,1.8494,0,1
-93,-4.95E-10,8.83E-10,-9.16E-10,2.17808,0,1
-92,3.92E-10,8E-10,-8.83E-10,2.4915,0,1
-91,2.25E-10,6.37E-10,-2.86E-10,2.668,0,1
-90,5.47E-10,5.13E-10,-4.64E-10,2.93286,0,1
-89,-4.13E-10,4.74E-10,-4.35E-10,3.25735,0,1
-88,4.79E-10,4.82E-10,-5.5E-10,3.58723,0,1
-87,-3.51E-10,4.28E-10,-2.91E-10,3.91722,0,1
-86,5.13E-10,3.76E-10,-4.29E-10,4.24693,0,1
-85,-5.28E-10,3.23E-10,-2.26E-10,4.57669,0,1
-84,2.63E-10,2.78E-10,-3.27E-10,4.88997,0,1
-83,-9.871E-09,1.95E-10,2.63E-10,5.06657,0,1
-82,9.2E-11,2.45E-10,-2.1E-11,5.34977,0,1
-81,3.69E-10,1.28E-10,1.62E-10,5.52731,0,1
