Setup title,VFET_cycle
Application test name,gate_scan_cycles
Test date,1/19/2018
Test time,16:50:08
Device ID,ratiosample
Count,15
Flags,!
Remarks,
Name,Gate,Source,Drain,False,VgStart,VgStop,VgStep,Vd,IgLimit,IntegTime,curr_cycle,Vs,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU4:HR	HRSMU","SMU3:HR	HRSMU","SMU2:HR	HRSMU",-100,100,1,1,0.01,MEDIUM,0,0,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax,test_cycles
Value,1,1E-06,1E-05,25,0.01,2
Vgate,Idrain,Isource,Igate,t,cycle,Vdrain
-100,-1.3711E-08,8.0625E-09,-1.6111E-08,0.0332,0,1
-99,-3E-11,3.0356E-09,-3.837E-09,0.37995,0,1
-98,-6.31E-10,2.01E-09,-2.414E-09,0.67031,0,1
-97,-2.8E-10,1.414E-09,-1.766E-09,0.93588,0,1
-96,-8E-11,1.23E-09,-1.444E-09,1.20289,0,1
-95,-1.0514E-08,1.047E-09,-1.143E-09,1.4542,0,1
-94,-2.19E-10,7.988E-10,-9.98E-10,1.78537,0,1
-93,-2.702E-09,7.308E-10,-8E-10,2.05437,0,1
-92,-1.49E-10,6.378E-10,-6.66E-10,2.28819,0,1
-91,-1.84E-10,4.967E-10,-6.38E-10,2.58125,0,1
-90,-2.51E-10,4.466E-10,-4.28E-10,2.87509,0,1
-89,-3.49E-10,3.669E-10,-4.53E-10,3.15628,0,1
-88,-2.09E-10,3.232E-10,-4.36E-10,3.42317,0,1
-87,5E-12,3.327E-10,-2.46E-10,3.65614,0,1
-86,-3.18E-10,2.64E-10,-3.9E-11,3.85244,0,1
-85,-3.02E-10,2.264E-10,-1.21E-10,4.07791,0,1
-84,-3.59E-10,2.05E-10,-1.32E-10,4.27721,0,1
-83,2.92E-10,1.314E-10,-2.3E-10,4.47655,0,1
-82,2.016E-09,1.567E-10,-2.88E-10,4.74344,0,1
