X,Y
0.0000,47.519
0.0943,47.880
0.1887,47.718
0.2830,47.667
0.3774,47.667
0.4717,47.667
0.5660,47.667
0.6604,47.667
0.7547,47.667
0.8491,47.667
0.9434,47.667
1.0377,47.667
1.1321,47.667
1.2264,47.667
1.3208,47.667
1.4151,47.667
1.5094,47.667
1.6038,47.667
1.6981,47.667
1.7925,47.667
1.8868,47.667
1.9811,47.622
2.0755,47.361
2.1698,49.671
2.2642,67.797
2.3585,92.665
2.4528,111.260
2.5472,116.346
2.6415,120.030
2.7358,123.785
2.8302,127.727
2.9245,131.218
3.0189,133.351
3.1132,137.981
3.2075,142.652
3.3019,146.536
3.3962,150.473
3.4906,154.123
3.5849,159.109
3.6792,165.073
3.7736,167.779
3.8679,117.556
3.9623,57.349
4.0566,62.298
4.1509,128.371
4.2453,166.396
4.3396,169.667
4.4340,169.667
4.5283,169.609
4.6226,169.427
4.7170,169.896
4.8113,169.753
4.9057,170.000
5.0000,169.749
5.0943,169.077
5.1887,168.174
5.2830,165.787
5.3774,164.123
5.4717,162.101
5.5660,160.007
5.6604,158.860
5.7547,157.500
5.8491,155.528
5.9434,153.976
6.0377,152.870
6.1321,151.239
6.2264,149.815
6.3208,148.932
6.4151,148.670
6.5094,148.667
6.6038,147.664
6.6981,147.414
6.7925,148.065
6.8868,151.900
6.9811,159.637
7.0755,152.676
7.1698,161.173
7.2642,167.939
7.3585,161.387
7.4528,150.136
7.5472,151.235
7.6415,158.032
7.7358,149.424
7.8302,84.271
7.9245,75.111
8.0189,114.746
8.1132,159.347
8.2075,155.257
8.3019,148.745
8.3962,147.258
8.4906,148.315
8.5849,148.482
8.6792,149.474
8.7736,157.108
8.8679,159.354
8.9623,138.215
9.0566,119.343
9.1509,116.970
9.2453,150.052
9.3396,166.908
9.4340,160.497
9.5283,159.295
9.6226,159.562
9.7170,160.875
9.8113,162.531
9.9057,164.155
10.0000,166.474
10.0943,168.956
10.1887,169.431
10.2830,148.070
10.3774,99.535
10.4717,76.423
10.5660,101.533
10.6604,151.171
10.7547,169.079
10.8491,169.578
10.9434,169.788
11.0377,169.634
11.1321,169.833
11.2264,169.602
11.3208,169.922
11.4151,169.642
11.5094,169.519
11.6038,169.474
11.6981,169.416
11.7925,169.684
11.8868,166.101
11.9811,151.945
12.0755,151.125
12.1698,163.865
12.2642,169.346
12.3585,169.702
12.4528,169.919
12.5472,169.839
12.6415,169.740
12.7358,169.667
12.8302,169.578
12.9245,169.699
13.0189,169.960
13.1132,169.721
13.2075,169.667
13.3019,169.667
13.3962,169.667
13.4906,169.667
13.5849,168.798
13.6792,162.126
13.7736,161.052
13.8679,168.587
13.9623,169.770
14.0566,169.027
14.1509,168.334
14.2453,167.321
14.3396,166.954
14.4340,165.292
14.5283,162.907
14.6226,158.636
14.7170,164.610
14.8113,144.601
14.9057,116.731
15.0000,121.116
15.0943,152.188
15.1887,166.257
15.2830,135.268
15.3774,141.038
15.4717,167.138
15.5660,169.810
15.6604,169.700
15.7547,169.516
15.8491,168.912
15.9434,166.928
16.0377,168.598
16.1321,168.843
16.2264,152.599
16.3208,120.269
16.4151,113.407
16.5094,130.615
16.6038,137.275
16.6981,155.444
16.7925,168.393
16.8868,169.343
16.9811,169.605
17.0755,169.610
17.1698,169.575
17.2642,159.870
17.3585,144.489
17.4528,156.242
17.5472,165.259
17.6415,139.672
17.7358,79.067
17.8302,65.316
17.9245,94.972
18.0189,122.021
18.1132,103.456
18.2075,75.313
18.3019,141.413
18.3962,167.971
18.4906,169.759
18.5849,169.922
18.6792,169.693
18.7736,169.577
18.8679,169.585
18.9623,169.183
19.0566,167.396
19.1509,158.649
19.2453,153.048
19.3396,155.497
19.4340,165.230
19.5283,169.365
19.6226,169.490
19.7170,165.689
19.8113,158.577
19.9057,152.954
20.0000,143.987
20.0943,141.646
20.1887,133.115
20.2830,131.902
20.3774,139.562
20.4717,143.854
20.5660,143.725
20.6604,141.367
20.7547,138.873
20.8491,136.476
20.9434,130.426
21.0377,128.108
21.1321,125.166
21.2264,122.547
21.3208,124.361
21.4151,132.582
21.5094,148.923
21.6038,155.679
21.6981,148.402
21.7925,151.845
21.8868,150.822
21.9811,138.414
22.0755,128.919
22.1698,122.654
22.2642,119.580
22.3585,117.328
22.4528,115.450
22.5472,113.459
22.6415,110.802
22.7358,109.208
22.8302,110.337
22.9245,112.115
23.0189,113.111
