   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   2   20    1   1.299951     2.194088     0.006459       2.1941   72.74357    0.00062    4
   1   21    3   1.299459    -1.353831    -0.005959      1.35384   72.77551    0.00024    4
   2   10   -6   1.299329    -6.993183    -0.051396      6.99337   72.78395    0.00631    4
   3    4   -5   1.299181    -0.764359    -0.015510     0.764516   72.79358    0.00008    4
   0   24    2   1.298903    -5.708752    -0.034075      5.70885   72.81169    0.00420    4
   2   13    4   1.298742    -7.426871    -0.053884      7.42707   72.82216    0.00711    4
   1   24    0   1.298553     8.968489     0.079284      8.96884   72.83443    0.01037    4
   0   18    5   1.298184   -10.691238    -0.051012      10.6914   72.85849    0.01473    4
   3   10   -4   1.297583     3.853702     0.049873      3.85402   72.89762    0.00191    4
   0    6    7   1.297364    11.799469     0.110726         11.8   72.91196    0.01791    4
   1   14   -6   1.296977     2.396966    -0.006604      2.39698   72.93718    0.00074    4
   3    2    3   1.296958    10.266113     0.046558      10.2662   72.93846    0.01355    4
   1    7   -7   1.296132     8.113694     0.068398      8.11398   72.99243    0.00845    4
   1   24   -1   1.295010     1.718960    -0.015868      1.71903   73.06590    0.00038    4
   3   14   -2   1.294203   -10.164408    -0.062336      10.1646   73.11887    0.01322    4
   0   14    6   1.293676    26.760787     0.102741       26.761   73.15348    0.09155    4
   2   21   -1   1.293166   -21.406489    -0.082801      21.4066   73.18698    0.05853    4
   2    7    5   1.293039   -30.072169    -0.183676      30.0727   73.19535    0.11548    4
   1   18   -5   1.292598    15.268741     0.124757      15.2693   73.22440    0.02975    4
   3    3    3   1.291809    31.538288     0.172813      31.5388   73.27640    0.12675    4
   3   14    0   1.290579    11.338474     0.036490      11.3385   73.35765    0.01635    4
   3    5   -5   1.289910     3.606332     0.026356      3.60643   73.40192    0.00165    4
   1   10    6   1.289446    -6.642837    -0.053047      6.64305   73.43265    0.00560    4
   0   21    4   1.289235     1.068588    -0.002201      1.06859   73.44662    0.00014    4
   2   15   -5   1.289179     1.192891    -0.001063      1.19289   73.45035    0.00018    4
   2   21    0   1.287870    25.741697     0.130500       25.742   73.53725    0.08388    4
   3   13   -3   1.286722    -2.535119     0.012057      2.53515   73.61371    0.00081    4
   3   10    2   1.286719     2.808856     0.000652      2.80886   73.61388    0.00100    4
   1   19    4   1.286282    25.180036     0.078940      25.1802   73.64300    0.08004    4
   0   25    1   1.285683    -7.910272    -0.085767      7.91074   73.68303    0.00789    4
   0   23    3   1.285417    -2.187635    -0.027182       2.1878   73.70078    0.00060    4
   2   19    2   1.285265    -0.762827    -0.009181     0.762883   73.71091    0.00007    4
   3    4    3   1.284703    26.326625     0.089233      26.3268   73.74852    0.08726    4
   0    7    7   1.284091     5.880103     0.067063      5.88049   73.78950    0.00435    4
   2   18   -4   1.281190    -0.234417    -0.000864     0.234419   73.98436    0.00001    4
   1    8   -7   1.280896     3.364762    -0.005270      3.36477   74.00420    0.00142    4
   1   23    2   1.279881     2.044392     0.003067      2.04439   74.07273    0.00052    4
   2   17    3   1.279869     0.200462     0.038016     0.204035   74.07353    0.00001    4
   3   13    1   1.279629    -7.410927    -0.067637      7.41124   74.08975    0.00686    4
   3    6   -5   1.278844    -1.158422     0.002978      1.15843   74.14284    0.00017    4
   2   11   -6   1.277993    -8.955813    -0.061680      8.95603   74.20049    0.00998    4
   2    8    5   1.277911   -22.530232    -0.106196      22.5305   74.20607    0.06317    4
   1   24    1   1.277607    19.385880     0.058598       19.386   74.22669    0.04675    4
   3   11   -4   1.276332    -3.585896    -0.022260      3.58596   74.31334    0.00160    4
   3    5    3   1.275736    18.515583     0.103149      18.5159   74.35388    0.04251    4
   3   15   -1   1.275339     7.277760     0.022315      7.27779   74.38093    0.00656    4
   1   21   -4   1.275199    13.353542     0.108975       13.354   74.39047    0.02209    4
   1   16    5   1.274416     1.546288     0.023381      1.54646   74.44396    0.00030    4
   2   21   -2   1.274208    -5.729474    -0.098150      5.73032   74.45812    0.00406    4
   2   20   -3   1.272305   -15.495880    -0.076410      15.4961   74.58847    0.02960    4
   2   14    4   1.271536     3.421019     0.029506      3.42115   74.64122    0.00144    4
   0    8    7   1.269271    -3.137993    -0.057338      3.13852   74.79723    0.00121    4
   1   11    6   1.268585    -5.898078    -0.051982      5.89831   74.84457    0.00426    4
   1   15   -6   1.267940    -3.268295     0.005614       3.2683   74.88920    0.00131    4
   1   24   -2   1.267562    -0.392990    -0.009586     0.393107   74.91539    0.00002    4
   3    7   -5   1.266126     4.784341     0.018562      4.78438   75.01499    0.00279    4
   3   11    2   1.265988     6.210694     0.046786      6.21087   75.02454    0.00471    4
   3   15   -2   1.265347    -1.050639    -0.014500      1.05074   75.06913    0.00013    4
   3    6    3   1.265028     0.991444    -0.019565     0.991637   75.09134    0.00012    4
   0   15    6   1.264855   -22.501250    -0.099835      22.5015   75.10341    0.06164    4
   1    9   -7   1.264262     4.257855    -0.019845       4.2579   75.14474    0.00220    4
   1   23   -3   1.263181     3.804768     0.058543      3.80522   75.22017    0.00176    4
   3   15    0   1.261960     8.659733     0.069068      8.66001   75.30562    0.00909    4
   2    9    5   1.261391   -16.012633    -0.053130      16.0127   75.34551    0.03103    4
   0   19    5   1.261374     5.229341     0.077729      5.22992   75.34672    0.00331    4
   3   14   -3   1.260250     1.977502    -0.006763      1.97751   75.42567    0.00047    4
   2    1   -7   1.259373   -14.096896    -0.113165      14.0974   75.48736    0.02397    4
   2   21    1   1.259185   -11.515432    -0.048129      11.5155   75.50058    0.01599    4
   2   16   -5   1.258753     4.453152     0.023627      4.45322   75.53107    0.00239    4
   1   22    3   1.256848    -1.006662    -0.024590      1.00696   75.66564    0.00012    4
   2    2   -7   1.256537   -13.251095    -0.128486      13.2517   75.68768    0.02108    4
   1   19   -5   1.256248    -5.432429    -0.039845      5.43258   75.70819    0.00354    4
   2   12   -6   1.255790     2.327126     0.039977      2.32747   75.74069    0.00065    4
   3   12   -4   1.254213    -0.132613    -0.018892     0.133952   75.85273    0.00000    4
   3   14    1   1.253583     2.164045    -0.009684      2.16407   75.89763    0.00056    4
   0    9    7   1.253080    -7.220386    -0.050082      7.22056   75.93354    0.00622    4
   3    7    3   1.252714     0.819287    -0.004725     0.819301   75.95965    0.00008    4
   3    8   -5   1.251912     3.761702     0.072864      3.76241   76.01693    0.00169    4
   2    3   -7   1.251853     7.796426     0.055585      7.79662   76.02116    0.00724    4
   2   22   -1   1.251152   -32.314540    -0.154743      32.3149   76.07136    0.12425    4
   0   25    2   1.250733     7.412870     0.072149      7.41322   76.10139    0.00653    4
   1   25    0   1.250421     0.272230     0.046268     0.276134   76.12377    0.00001    4
   1   20    4   1.248595   -43.367659    -0.248608      43.3684   76.25505    0.22284    4
   0   26    0   1.248077     0.977599     0.013699     0.977695   76.29240    0.00006    2
   2   20    2   1.247665     9.742006     0.042858       9.7421   76.32213    0.01123    4
   0   22    4   1.247591     7.102385     0.054000      7.10259   76.32747    0.00597    4
   1   25   -1   1.247257    -1.276227     0.014074       1.2763   76.35160    0.00019    4
   1   12    6   1.246860     0.816978     0.019047       0.8172   76.38024    0.00008    4
   1   10   -7   1.246416    14.127789     0.061038      14.1279   76.41239    0.02356    4
   2   18    3   1.246388     9.729390     0.101753      9.72992   76.41443    0.01118    4
   2   22    0   1.246354    13.937956     0.083166      13.9382   76.41688    0.02293    4
   3   16   -1   1.245860    -0.550517    -0.012620     0.550661   76.45263    0.00004    4
   2   19   -4   1.245768    -3.380649    -0.016907      3.38069   76.45930    0.00135    4
   2    4   -7   1.245383     1.078629     0.019073       1.0788   76.48721    0.00014    4
   3   12    2   1.244394     3.315119     0.045511      3.31543   76.55899    0.00129    4
   2   15    4   1.244139     0.231963    -0.002228     0.231974   76.57757    0.00001    4
   2   10    5   1.243665   -15.801163    -0.086760      15.8014   76.61204    0.02934    4
   1   17    5   1.243171    11.283904     0.052951       11.284   76.64804    0.01495    4
   0   24    3   1.240488    -5.425179    -0.046918      5.42538   76.84404    0.00344    4
   1   16   -6   1.238959     2.382662     0.048849      2.38316   76.95623    0.00066    4
   3    8    3   1.238942    -2.912026    -0.000882      2.91203   76.95749    0.00099    4
   2    5   -7   1.237210     4.239557     0.039792      4.23974   77.08510    0.00209    4
   0   26    1   1.237115    -5.704398    -0.040798      5.70454   77.09208    0.00378    4
   3   16   -2   1.236540    -5.912066    -0.009503      5.91207   77.13456    0.00406    4
   3    9   -5   1.236368    -1.497602    -0.032301      1.49795   77.14723    0.00026    4
   0   16    6   1.236080    34.287990     0.204674      34.2886   77.16853    0.13645    4
   0   10    7   1.235697     0.688017     0.002021      0.68802   77.19692    0.00005    4
   1   24    2   1.235510   -16.299756    -0.056644      16.2999   77.21073    0.03081    4
   1   22   -4   1.234859    -3.287870    -0.032523      3.28803   77.25902    0.00125    4
   2   21   -3   1.234010    11.701561     0.047190      11.7017   77.32200    0.01584    4
   2   22   -2   1.233959   -13.357407    -0.057381      13.3575   77.32582    0.02064    4
   3   15   -3   1.233560    -8.657272    -0.070712      8.65756   77.35544    0.00866    4
   3   16    0   1.233378     4.745812    -0.007310      4.74582   77.36896    0.00260    4
   2   13   -6   1.232921     0.268574     0.006091     0.268643   77.40300    0.00001    4
   1   25    1   1.231686    30.728694     0.179661      30.7292   77.49508    0.10881    4
   3   13   -4   1.231429    -4.804184    -0.051781      4.80446   77.51427    0.00266    4
   2   17   -5   1.228619     2.866784     0.039956      2.86706   77.72487    0.00094    4
   1   11   -7   1.227545     6.345939     0.007562      6.34594   77.80566    0.00461    4
   2    6   -7   1.227435     7.928576     0.060658      7.92881   77.81391    0.00719    4
   3   15    1   1.227306    -2.224275    -0.035546      2.22456   77.82364    0.00057    4
   1    1    7   1.227057    -1.274582    -0.020173      1.27474   77.84245    0.00019    4
   0   20    5   1.225774    11.094569     0.087443      11.0949   77.93930    0.01405    4
   2   11    5   1.224917    -1.503175     0.002173      1.50318   78.00422    0.00026    4
   1   13    6   1.224468    -3.087777     0.010155      3.08779   78.03825    0.00109    4
   1    2    7   1.224433     5.792736     0.017052      5.79276   78.04084    0.00382    4
   3    9    3   1.223871     3.306542     0.046335      3.30687   78.08354    0.00124    4
   1   25   -2   1.222678    -0.212177     0.006166     0.212267   78.17422    0.00001    4
   3   13    2   1.222132    -2.109740     0.011776      2.10977   78.21583    0.00051    4
   1   20   -5   1.221069     5.595703     0.032377       5.5958   78.29696    0.00355    4
   1   24   -3   1.220468    -4.107824     0.006537      4.10783   78.34289    0.00191    4
   2   22    1   1.220300    -3.584210    -0.024601      3.58429   78.35577    0.00145    4
   1    3    7   1.220098     0.761389     0.074525     0.765028   78.37118    0.00007    4
   3   10   -5   1.219663   -15.085056    -0.093614      15.0853   78.40454    0.02572    4
   0   11    7   1.217301    -4.434112    -0.027199       4.4342   78.58598    0.00221    4
   2   16    4   1.216725    -4.296495    -0.053361      4.29683   78.63038    0.00208    4
   3   17   -1   1.216621     0.116647    -0.033860     0.121462   78.63839    0.00000    4
   1   23    3   1.216459    -0.277737    -0.030379     0.279393   78.65089    0.00001    4
   2    7   -7   1.216177    -2.033237    -0.012866      2.03328   78.67268    0.00046    4
   1    4    7   1.214106    -0.781891     0.002103     0.781894   78.83299    0.00007    4
   3    0   -6   1.214077    14.508123     0.084522      14.5084   78.83524    0.01179    2
   2   19    3   1.213703     5.316265     0.042451      5.31643   78.86428    0.00316    4
   3    1   -6   1.213228     6.141094     0.009201       6.1411   78.90115    0.00422    4
   1   18    5   1.212420    -0.748640     0.052872     0.750504   78.96398    0.00006    4
   1   21    4   1.212342    16.179064     0.084234      16.1793   78.97008    0.02924    4
   2   21    2   1.211490   -19.465054    -0.055776      19.4651   79.03647    0.04227    4
   2   20   -4   1.211438     2.948231     0.038530      2.94848   79.04051    0.00097    4
   2   23   -1   1.211292   -43.689050    -0.265228      43.6899   79.05191    0.21288    4
   3    2   -6   1.210692     5.747369     0.027532      5.74744   79.09880    0.00368    4
   1   17   -6   1.210193   -22.333380    -0.154630      22.3339   79.13786    0.05553    4
   2   14   -6   1.209574     2.036287     0.019674      2.03638   79.18631    0.00046    4
   3   14   -4   1.208165    -8.250746    -0.068957      8.25103   79.29687    0.00756    4
   0   23    4   1.208060    -1.226080     0.019777      1.22624   79.30513    0.00017    4
   3   17   -2   1.207937   -26.828235    -0.150636      26.8287   79.31476    0.07985    4
   1   12   -7   1.207829     8.625977     0.044507      8.62609   79.32330    0.00825    4
   3   10    3   1.207660     3.979779     0.025708      3.97986   79.33659    0.00176    4
   0   17    6   1.207509   -38.468924    -0.218800      38.4695   79.34846    0.16406    4
   2   23    0   1.206937    17.402949     0.082484      17.4031   79.39354    0.03355    4
   3   16   -3   1.206825     6.565204     0.016140      6.56522   79.40235    0.00477    4
   1    5    7   1.206529     2.484461    -0.003038      2.48446   79.42568    0.00068    4
   3    3   -6   1.206501    12.724785     0.073906       12.725   79.42793    0.01792    4
   0   26    2   1.205885    -2.336358    -0.018592      2.33643   79.47652    0.00060    4
   1   26    0   1.205606    -4.019402     0.009852      4.01941   79.49862    0.00179    4
   2   12    5   1.205325    -0.897321    -0.017642     0.897495   79.52080    0.00009    4
   3   17    0   1.204990    -5.570164    -0.037474      5.57029   79.54733    0.00343    4
   2    8   -7   1.203564    -6.512881    -0.071505      6.51327   79.66038    0.00467    4
   1   26   -1   1.202768    -4.077699    -0.030603      4.07781   79.72360    0.00183    4
   3   11   -5   1.201964    25.125289     0.102195      25.1255   79.78767    0.06938    4
   1   14    6   1.201588    -6.178680    -0.024871      6.17873   79.81760    0.00419    4
   3   16    1   1.200967     0.847780    -0.009916     0.847838   79.86720    0.00008    4
   2    0    6   1.200708    -7.846133    -0.023418      7.84617   79.88787    0.00338    2
   3    4   -6   1.200705     4.286431     0.023133      4.28649   79.88811    0.00202    4
   2    1    6   1.199887     8.579948     0.014073      8.57996   79.95356    0.00806    4
   3   14    2   1.199381    -2.277106     0.003894      2.27711   79.99411    0.00057    4
   3    0    4   1.199330   -46.670926    -0.217114      46.6714   79.99818    0.11921    2
   2   18   -5   1.198910    -0.738750    -0.018904     0.738992   80.03188    0.00006    4
   3    1    4   1.198512   -33.840056    -0.209649      33.8407   80.06385    0.12519    4
   0   25    3   1.198326    -3.658317    -0.020375      3.65837   80.07878    0.00146    4
   0   12    7   1.198067    -1.783924     0.008080      1.78394   80.09959    0.00035    4
   1    6    7   1.197459     4.052680    -0.005763      4.05268   80.14854    0.00179    4
   2    2    6   1.197434     4.640161    -0.003392      4.64016   80.15054    0.00235    4
   2   22   -3   1.197344   -10.644896    -0.051110       10.645   80.15779    0.01237    4
   1   23   -4   1.196489     5.406845     0.034093      5.40695   80.22670    0.00319    4
   3    2    4   1.196067   -22.666180    -0.125335      22.6665   80.26076    0.05595    4
   2   23   -2   1.195670    18.086506     0.066998      18.0866   80.29282    0.03561    4
   1   25    2   1.193837   -27.431643    -0.130365       27.432   80.44134    0.08168    4
   2    3    6   1.193378     5.738528     0.029460       5.7386   80.47858    0.00357    4
   3    5   -6   1.193375     8.997130     0.090378      8.99758   80.47881    0.00878    4
   0   27    1   1.192054     0.279965    -0.043961     0.283396   80.58634    0.00001    4
   3    3    4   1.192025   -36.513764    -0.221765      36.5144   80.58869    0.14431    4
   0   21    5   1.191419     2.794495     0.021695      2.79458   80.63813    0.00084    4
   3   11    3   1.190471     6.645018     0.050512      6.64521   80.71559    0.00477    4
   2    9   -7   1.189733     2.257879     0.027680      2.25805   80.77605    0.00055    4
   2   17    4   1.189446    -6.179118    -0.060173      6.17941   80.79955    0.00412    4
   1   26    1   1.188787    24.590872     0.131070      24.5912   80.85362    0.06513    4
   2    4    6   1.187769    13.421225     0.049893      13.4213   80.93731    0.01937    4
   3   18   -1   1.187754    -2.590241     0.020671      2.59032   80.93851    0.00072    4
   1   13   -7   1.187440    20.980302     0.140663      20.9808   80.96438    0.04732    4
   1   21   -5   1.187097   -13.711167    -0.070910      13.7114   80.99268    0.02020    4
   1    7    7   1.186998    -2.105819    -0.081582       2.1074   81.00079    0.00048    4
   3    4    4   1.186435   -23.108831    -0.127175      23.1092   81.04728    0.05732    4
   2   15   -6   1.185917     8.294024     0.077648      8.29439   81.09003    0.00738    4
   1    0   -8   1.185155     2.203904    -0.033350      2.20416   81.15311    0.00026    2
   2   13    5   1.185061    -4.652956    -0.064890      4.65341   81.16092    0.00232    4
   3    6   -6   1.184596    16.293209     0.096566      16.2935   81.19941    0.02841    4
   3   15   -4   1.184590     1.508896    -0.023372      1.50908   81.19995    0.00024    4
   1    1   -8   1.184365    -6.870914    -0.058960      6.87117   81.21856    0.00505    4
   3   12   -5   1.183437   -37.995217    -0.245843       37.996   81.29568    0.15425    4
   2   23    1   1.183231    -5.513545    -0.056480      5.51383   81.31278    0.00325    4
   1   19    5   1.182272    18.809965     0.093744      18.8102   81.39264    0.03774    4
   1    2   -8   1.182006    16.948112     0.118988      16.9485   81.41482    0.03063    4
   2   20    3   1.181890    -1.064326    -0.007463      1.06435   81.42450    0.00012    4
   1   18   -6   1.181770    26.644231     0.141866      26.6446   81.43447    0.07567    4
   4    1   -1   1.181705    -1.733485    -0.000636      1.73349   81.43995    0.00032    4
   4    0   -2   1.181192     3.973611     0.054018      3.97398   81.48273    0.00084    2
   1   26   -2   1.180682     6.780537     0.086381      6.78109   81.52543    0.00489    4
   2    5    6   1.180672    37.204564     0.240580      37.2053   81.52624    0.14729    4
   4    1   -2   1.180411    -0.930190     0.006618     0.930213   81.54812    0.00009    4
   1   25   -3   1.180249   -12.271823    -0.080466      12.2721   81.56162    0.01602    4
   3   17   -3   1.180192     8.395965     0.012947      8.39597   81.56645    0.00750    4
   3   18   -2   1.179670   -34.834554    -0.190814      34.8351   81.61017    0.12893    4
   3    5    4   1.179362    -6.878751    -0.021557      6.87879   81.63604    0.00503    4
   4    2   -1   1.179361     0.681358    -0.006026     0.681385   81.63610    0.00005    4
   0   18    6   1.179271    17.835520     0.057874      17.8356   81.64365    0.03378    4
   1   15    6   1.178389     6.494704     0.094605      6.49539   81.71780    0.00447    4
   2   21   -4   1.178242    -5.501032    -0.059853      5.50136   81.73010    0.00321    4
   1   24    3   1.178173     7.681397     0.035705      7.68148   81.73594    0.00626    4
   0   13    7   1.178161     4.771074     0.057049      4.77142   81.73699    0.00241    4
   1    3   -8   1.178104   -12.809457    -0.085006      12.8097   81.74171    0.01739    4
   4    2   -2   1.178075    -2.875747    -0.008191      2.87576   81.74422    0.00088    4
   1   22    4   1.177520     2.294189     0.037782       2.2945   81.79094    0.00056    4
   3   18    0   1.176924    -9.646453    -0.065246      9.64667   81.84121    0.00985    4
   2   22    2   1.176740    17.945317     0.094315      17.9456   81.85678    0.03407    4
   3   15    2   1.176306     5.898902     0.033408        5.899   81.89338    0.00368    4
   4    3   -1   1.175486     1.963060     0.036347       1.9634   81.96280    0.00041    4
   1    8    7   1.175263     0.125347    -0.045875     0.133478   81.98169    0.00000    4
   2   10   -7   1.174825     0.837873     0.016928     0.838044   82.01883    0.00007    4
   3   17    1   1.174711     0.587796    -0.004677     0.587814   82.02843    0.00004    4
   3    7   -6   1.174467     2.721653    -0.004342      2.72166   82.04922    0.00078    4
   4    3   -2   1.174212     6.262855     0.017079      6.26288   82.07083    0.00413    4
   2   24   -1   1.173477   -25.429103    -0.149081      25.4295   82.13332    0.06809    4
   1    4   -8   1.172707     6.644035     0.082646      6.64455   82.19890    0.00464    4
   3   12    3   1.172462     3.330069     0.020517      3.33013   82.21974    0.00117    4
   2    6    6   1.172168    32.746681     0.213271      32.7474   82.24484    0.11270    4
   3    6    4   1.170886    -7.615916    -0.012007      7.61593   82.35444    0.00608    4
   0   24    4   1.170537   -13.659921    -0.070936      13.6601   82.38432    0.01956    4
   4    4   -1   1.170124     5.857567     0.028215      5.85764   82.41975    0.00360    4
   2   19   -5   1.169734     0.129403    -0.027159     0.132223   82.45317    0.00000    4
   2   24    0   1.169515    20.262718     0.086382      20.2629   82.47198    0.04298    4
   0    0    8   1.169335     5.117133     0.040289      5.11729   82.48743    0.00137    2
   4    4   -2   1.168868    -3.872358    -0.041309      3.87258   82.52766    0.00157    4
   0    1    8   1.168577     5.792632     0.078598      5.79317   82.55266    0.00351    4
   1   14   -7   1.166540     5.972428     0.001490      5.97243   82.72844    0.00372    4
   0    2    8   1.166310    -1.612101    -0.025462       1.6123   82.74828    0.00027    4
   1    5   -8   1.165875    -0.130255     0.023285      0.13232   82.78599    0.00000    4
   4    0    0   1.165277     2.278235     0.045968       2.2787   82.83786    0.00027    2
   4    1    0   1.164526    -0.348221    -0.004496      0.34825   82.90304    0.00001    4
   2   14    5   1.164283    -1.726858    -0.028602       1.7271   82.92412    0.00031    4
   3   13   -5   1.164239    19.515041     0.104791      19.5153   82.92799    0.03957    4
   0   27    2   1.164039     0.266649    -0.040055     0.269641   82.94542    0.00001    4
   1   27    0   1.163787   -18.351432    -0.112879      18.3518   82.96731    0.03497    4
   4    5   -1   1.163337    -3.461162    -0.031329       3.4613   83.00654    0.00124    4
   3    8   -6   1.163095   -19.524085    -0.115150      19.5244   83.02760    0.03955    4
   0    3    8   1.162562    -1.291715    -0.001506      1.29172   83.07413    0.00017    4
   2   18    4   1.162428    -0.318758     0.020608     0.319423   83.08580    0.00001    4
   1    9    7   1.162374    18.993048     0.122700      18.9934   83.09053    0.03739    4
   2    7    6   1.162351    46.296142     0.239598      46.2968   83.09252    0.22212    4
   4    2    0   1.162283    -5.129695    -0.021159      5.12974   83.09851    0.00273    4
   2   23   -3   1.162269    10.475732     0.066213      10.4759   83.09971    0.01137    4
   2   16   -6   1.162104   -11.380822    -0.109629      11.3813   83.11418    0.01342    4
   4    5   -2   1.162102    -2.409274    -0.051252      2.40982   83.11431    0.00060    4
   1   27   -1   1.161235    -4.313436    -0.016674      4.31347   83.19023    0.00193    4
   3    7    4   1.161101    -2.517893    -0.021345      2.51798   83.20191    0.00066    4
   3   16   -4   1.160854     4.771936     0.042200      4.77212   83.22357    0.00236    4
   4    1   -3   1.160822    24.727143     0.120803      24.7274   83.22635    0.06323    4
   1   24   -4   1.160002     3.775242     0.018042      3.77528   83.29836    0.00147    4
   3   19   -1   1.159367    -5.746785    -0.040988      5.74693   83.35423    0.00341    4
   2   24   -2   1.159256    -4.223228    -0.028384      4.22332   83.36397    0.00184    4
   2   11   -7   1.158982    -2.846111    -0.004390      2.84611   83.38807    0.00084    4
   0   28    0   1.158929    -2.715885    -0.031049      2.71606   83.39279    0.00038    2
   0   26    3   1.158710    -4.597815    -0.010868      4.59783   83.41208    0.00218    4
   4    2   -3   1.158601   -13.529532    -0.116655        13.53   83.42169    0.01887    4
   4    3    0   1.158573    -0.751690    -0.006792     0.751721   83.42413    0.00006    4
   0   22    5   1.158321     5.578329     0.068056      5.57874   83.44637    0.00321    4
   0   14    7   1.157738     0.448444    -0.063853     0.452967   83.49781    0.00002    4
   1    6   -8   1.157685   -11.390623    -0.124468      11.3913   83.50251    0.01336    4
   0    4    8   1.157374    -5.725518    -0.059219      5.72582   83.52995    0.00337    4
   4    6   -1   1.155200    -4.014370    -0.035946      4.01453   83.72274    0.00165    4
   1   16    6   1.155017    -3.264637    -0.047800      3.26499   83.73901    0.00109    4
   4    3   -3   1.154926     3.716567     0.016155       3.7166   83.74709    0.00142    4
   1   26    2   1.154650   -23.562707    -0.131883      23.5631   83.77166    0.05693    4
   1   22   -5   1.154348     4.633385     0.021409      4.63343   83.79855    0.00220    4
   4    6   -2   1.153991     2.786954     0.008397      2.78697   83.83036    0.00080    4
   1   19   -6   1.153799   -15.645788    -0.085047       15.646   83.84740    0.02507    4
   3   18   -3   1.153786    13.334194     0.060705      13.3343   83.84859    0.01821    4
   3   13    3   1.153786    -4.887263    -0.042665      4.88745   83.84863    0.00245    4
   4    4    0   1.153438    -5.079664    -0.031271      5.07976   83.87963    0.00264    4
   3   16    2   1.153056    -2.544052    -0.064245      2.54486   83.91380    0.00066    4
   1   20    5   1.152808   -32.858960    -0.215615      32.8597   83.93589    0.11043    4
   3   19   -2   1.151845   -19.643127    -0.091345      19.6433   84.02216    0.03941    4
   0   19    6   1.151473    -9.353023    -0.046324      9.35314   84.05547    0.00893    4
   2    8    6   1.151325     6.207259     0.031094      6.20734   84.06874    0.00393    4
   2   21    3   1.151003    -8.499871    -0.035995      8.49995   84.09762    0.00737    4
   0    5    8   1.150805    -5.506875    -0.087004      5.50756   84.11541    0.00309    4
   3    9   -6   1.150599    17.060097     0.055216      17.0602   84.13399    0.02968    4
   0   28    1   1.150136    -3.901003    -0.010953      3.90102   84.17559    0.00155    4
   3    8    4   1.150110     8.346721     0.054421       8.3469   84.17793    0.00710    4
   4    4   -3   1.149839    -0.065643    -0.009996    0.0664002   84.20231    0.00000    4
   3   19    0   1.149288     1.532300    -0.004620      1.53231   84.25199    0.00024    4
   3   18    1   1.148664    -1.530770     0.011115      1.53081   84.30830    0.00024    4
   1   27    1   1.148637    31.868392     0.199215       31.869   84.31071    0.10329    4
   1   10    7   1.148459    33.149540     0.184546      33.1501   84.32678    0.11174    4
   1    7   -8   1.148224     3.440166     0.039816       3.4404   84.34801    0.00120    4
   2   24    1   1.147908    10.054155     0.068267      10.0544   84.37660    0.01027    4
   4    5    0   1.146936    -3.603899    -0.023809      3.60398   84.46471    0.00132    4
   2   22   -4   1.146201    -8.550129    -0.064649      8.55037   84.53140    0.00741    4
   4    7   -1   1.145800    -6.280713    -0.067053      6.28107   84.56790    0.00400    4
   1   15   -7   1.145276   -12.644973    -0.088892      12.6453   84.61552    0.01619    4
   4    7   -2   1.144620    -2.739765    -0.011240      2.73979   84.67535    0.00076    4
   3   14   -5   1.144520    -7.069594    -0.026615      7.06964   84.68447    0.00506    4
   1   23    4   1.144111     7.917400     0.007168       7.9174   84.72179    0.00634    4
   4    5   -3   1.143397     1.577406     0.008829      1.57743   84.78707    0.00025    4
   2   23    2   1.143395   -12.385752    -0.067781      12.3859   84.78724    0.01549    4
   2   15    5   1.143141     4.124429     0.047343       4.1247   84.81050    0.00172    4
   0    6    8   1.142927     1.934954     0.025031      1.93512   84.83013    0.00038    4
   2   12   -7   1.142345     1.907224     0.047435      1.90781   84.88341    0.00037    4
   1   26   -3   1.142343    -9.379096    -0.039792      9.37918   84.88359    0.00887    4
   1   25    3   1.141872    -2.740222     0.026876      2.74035   84.92689    0.00076    4
   1   27   -2   1.141321    -5.026818    -0.053827      5.02711   84.97751    0.00255    4
   2   20   -5   1.141176     2.427273    -0.000159      2.42727   84.99082    0.00059    4
   2    9    6   1.139200     8.714778     0.022716      8.71481   85.17305    0.00763    4
   4    6    0   1.139136     2.718503     0.030654      2.71868   85.17902    0.00074    4
   2   17   -6   1.138266     0.470680     0.004912     0.470705   85.25953    0.00002    4
   3    9    4   1.138023    -6.968018    -0.043818      6.96816   85.28204    0.00487    4
   2   25   -1   1.137595   -10.711400    -0.067070      10.7116   85.32176    0.01150    4
   1    8   -8   1.137592    -6.070920    -0.056662      6.07118   85.32206    0.00369    4
   3   10   -6   1.137098   -27.070871    -0.177448      27.0715   85.36796    0.07342    4
   3   17   -4   1.137092     1.355910     0.030408      1.35625   85.36851    0.00018    4
   0   15    7   1.136944   -12.304014    -0.066000      12.3042   85.38226    0.01516    4
   2   19    4   1.135778    -0.014907     0.004358     0.015531   85.49080    0.00000    4
   4    6   -3   1.135668     0.819761     0.009407     0.819815   85.50103    0.00007    4
   4    8   -1   1.135233    -5.323893    -0.052405      5.32415   85.54162    0.00283    4
   0   25    4   1.134916     5.597881     0.062516      5.59823   85.57127    0.00313    4
   3   14    3   1.134584    -0.899587     0.022383     0.899865   85.60228    0.00008    4
   4    8   -2   1.134086    -2.357735    -0.012961      2.35777   85.64892    0.00055    4
   2   25    0   1.133985     0.380293    -0.015990     0.380629   85.65842    0.00001    4
