   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    4   -3   2.677064   -31.728571    -0.026435      31.7286   33.47229    0.72296    4
   0   10    2   2.666188   -29.328684    -0.159044      29.3291   33.61289    0.61215    4
   1   10    0   2.663170    21.958375     0.090902      21.9586   33.65211    0.34227    4
   1    6    2   2.651109   -26.607911    -0.110200      26.6081   33.80980    0.49748    4
   1    9    1   2.648546    10.457994     0.059589      10.4582   33.84350    0.07669    4
   1   10   -1   2.633001    -2.393426    -0.030547      2.39362   34.04938    0.00396    4
   1    5   -3   2.598659   -24.455693    -0.079293      24.4558   34.51338    0.40182    4
   0   12    1   2.597805   -30.831613    -0.102664      30.8318   34.52507    0.63818    4
   0    7    3   2.587351   -14.665965    -0.040339       14.666   34.66897    0.14310    4
   1    9   -2   2.562381    -5.490755    -0.037217      5.49088   35.01769    0.01962    4
   1    7    2   2.543072     3.677600    -0.022454      3.67767   35.29226    0.00865    4
   1    6   -3   2.511579    51.599713     0.179698         51.6   35.74963    1.65638    4
   1   10    1   2.495330    -0.450479    -0.013601     0.450685   35.99038    0.00012    4
   0   11    2   2.495182    12.186971     0.063785      12.1871   35.99258    0.09104    4
   1   11    0   2.492708     5.473761     0.047782      5.47397   36.02953    0.01832    4
   0    8    3   2.472161    36.640444     0.198687       36.641   36.33940    0.80577    4
   1   11   -1   2.467917    -5.672996     0.019294      5.67303   36.40407    0.01924    4
   1    8    2   2.433450     8.977387     0.077302      8.97772   36.93818    0.04667    4
   1   10   -2   2.422877    15.548572     0.033607      15.5486   37.10524    0.13859    4
   1    7   -3   2.419148   -24.632743    -0.093365      24.6329   37.16454    0.34663    4
   0   13    1   2.411770    29.113821     0.025356      29.1138   37.28240    0.48084    4
   1    1    3   2.394868    -5.854405    -0.017369      5.85443   37.55534    0.01913    4
   1    2    3   2.375538     8.321977     0.003290      8.32198   37.87250    0.03795    4
   0    9    3   2.358542   -19.232714    -0.097842       19.233   38.15593    0.19939    4
   2    1   -1   2.356149    29.172018     0.166873      29.1725   38.19618    0.45766    4
   1   11    1   2.353479    17.970150     0.066505      17.9703   38.24120    0.17321    4
   1    3    3   2.344337   -54.241843    -0.219456      54.2423   38.39616    1.56407    4
   0   12    2   2.341074    13.009383     0.038325      13.0094   38.45177    0.08968    4
   1   12    0   2.339031    11.911130     0.059503      11.9113   38.48669    0.07503    4
   0    0    4   2.338671   -17.712981    -0.068171      17.7131   38.49284    0.08293    2
   2    2   -1   2.337735     5.916413     0.013213      5.91643   38.50886    0.01849    4
   0    1    4   2.332621     0.082221    -0.024808    0.0858819   38.59663    0.00000    4
   2    0    0   2.330553    -3.301591     0.006231       3.3016   38.63223    0.00286    2
   1    9    2   2.324857    -4.826672    -0.023324      4.82673   38.73066    0.01215    4
   2    1    0   2.324566    -3.339644    -0.004111      3.33965   38.73570    0.00581    4
   1    8   -3   2.324207    -1.468409     0.005521      1.46842   38.74192    0.00112    4
