0.0339,785916
0.0363,725344
0.0387,690896
0.0411,651000
0.0436,620318
0.046,599130
0.0484,566993
0.0508,544269
0.0532,529990
0.0557,511147
0.0581,481161
0.0605,463780
0.0629,445272
0.0653,436524
0.0678,437717
0.0702,467350
0.0726,515241
0.075,617498
0.0774,737870
0.0799,824578
0.0823,863582
0.0847,886214
0.0871,900982
0.0895,871147
0.092,832585
0.0944,804232
0.0968,777766
0.0992,727624
0.1016,681528
0.1041,654196
0.1065,625505
0.1089,605832
0.1113,585814
0.1137,576436
0.1162,569752
0.1186,548055
0.121,527948
0.1234,515706
0.1258,499044
0.1283,492906
0.1307,483375
0.1331,469502
0.1355,460814
0.1379,454958
0.1404,451680
0.1428,453778
0.1452,455155
0.1476,462953
0.15,474769
0.1525,490903
0.1549,520183
0.1573,590812
0.1597,733427
0.1621,894529
0.1646,1059620
0.167,1227290
0.1694,1385790
0.1718,1520390
0.1742,1647290
0.1767,1287140
0.1791,1333490
0.1815,1367390
0.1839,1392530
0.1863,1440580
0.1888,1457330
0.1912,1469030
0.1936,1486910
0.196,1498300
0.1984,1485870
0.2009,1473760
0.2033,1571360
0.2057,1520920
0.2081,1493700
0.2105,1456650
0.213,1408760
0.2154,1377860
0.2178,1329120
0.2202,1302170
0.2226,1265740
0.2251,1230700
0.2275,1281330
0.2299,1259680
0.2323,1219910
0.2347,1188910
0.2371,1196090
0.2396,1158680
0.242,1141320
0.2444,1112060
0.2468,1149420
0.2492,1122540
0.2517,902145
0.2541,871954
0.2565,858565
0.2589,851209
0.2613,851935
0.2638,825815
0.2662,825186
0.2686,821983
0.271,808530
0.2734,795949
0.2759,784535
0.2783,780540
0.2807,772818
0.2831,758916
0.2855,775501
0.288,770760
0.2904,755224
0.2928,744945
0.2952,738473
0.2976,721133
0.3001,712785
0.3025,701938
0.3049,706690
0.3073,621207
0.3097,621159
0.3122,637823
0.3146,628484
0.317,627246
0.3194,619590
0.3218,610895
0.3243,616742
0.3267,617238
0.3291,610851
0.3315,612402
0.3339,627451
0.3364,631842
0.3388,632322
0.3412,645692
0.3436,661358
0.346,666544
0.3485,694355
0.3509,715104
0.3533,692870
0.3557,727408
0.3581,778275
0.3606,850696
0.363,973691
0.3654,1146500
0.3678,1413510
0.3702,1773500
0.3727,2238690
0.3751,2685920
