r_bottom,r_t,R1,R2,theta1,theta2,H,I
76,,387.376,395.6,137,159,745,0
113,,378.9,397,136.5,157.5,737,0.00E+00
139,,372.6,397.6,137,155.7,713,0.00E+00
149,,368,398,135.8,152,704,0.00E+00
166,,363,398.3,138.9,150,699,0.00E+00
200,,360,398.9,137.6,151,691,0.00E+00
,,,,,,,
,,,,,,,
,,,,,,,
