t,0,5,12,26,60,100,200,300,400,600,750
stat,50.1,98.7,104.1,103.5,108.13,111,119,122.96,127,150.1,150.7
adv,65.77,103.34,108.3,109.0,113.48,119.03,124.28,129.58,133.8,156.9,159.1
rec,19.86,82.4,95.0,97.7,92.0,88.5,74.5,72.3,63.5,44.1,40.9
